(Log @ 18.38.11): Working directory changed from "" to "C:\Users\Tim Roberts\Documents\1_NevronEngine\bin\"
(Log @ 18.38.11): NevronEngine initializing...
(OpenGL @ 18.38.12): OpenGl version: 3.3.0 NVIDIA 425.31
(Timer: Startup @ 18.38.12): Duration: 670.656738ms
(OpenGL Callback @ 18.38.12): type: 33361, severity: 33387, message: Buffer detailed info: Buffer object 1 (bound to GL_ARRAY_BUFFER_ARB, usage hint is GL_STATIC_DRAW) will use VIDEO memory as the source for buffer object operations.
(OpenGL Callback @ 18.38.12): type: 33361, severity: 33387, message: Buffer detailed info: Buffer object 2 (bound to GL_ELEMENT_ARRAY_BUFFER_ARB, usage hint is GL_STATIC_DRAW) will use VIDEO memory as the source for buffer object operations.
(Log @ 18.38.12): Compiled vertex shader
(Log @ 18.38.12): Compiled fragment shader
(Main @ 18.38.12): ----------Entering game loop----------

(Framerate @ 18.38.12): 0.000000
(Multiplication time @ 18.38.12): 121.383905ns
(Multiplication time @ 18.38.12): 95.154099ns
(Multiplication time @ 18.38.12): 92.198305ns
(Multiplication time @ 18.38.12): 95.405698ns
(Multiplication time @ 18.38.12): 96.671000ns
(Multiplication time @ 18.38.13): 90.065598ns
(Multiplication time @ 18.38.13): 91.748402ns
(Multiplication time @ 18.38.13): 88.138796ns
(Multiplication time @ 18.38.13): 88.486701ns
(Multiplication time @ 18.38.13): 89.940198ns
(Multiplication time @ 18.38.13): 88.071197ns
(Multiplication time @ 18.38.13): 90.385601ns
(Multiplication time @ 18.38.13): 90.297200ns
(Multiplication time @ 18.38.13): 91.115400ns
(Multiplication time @ 18.38.13): 89.184001ns
(Multiplication time @ 18.38.13): 89.637101ns
(Multiplication time @ 18.38.14): 87.377399ns
(Multiplication time @ 18.38.14): 89.736402ns
(Multiplication time @ 18.38.14): 87.594204ns
(Multiplication time @ 18.38.14): 88.741198ns
(Multiplication time @ 18.38.14): 90.500601ns
(Multiplication time @ 18.38.14): 88.313997ns
(Multiplication time @ 18.38.14): 90.797998ns
(Multiplication time @ 18.38.14): 92.473105ns
(Multiplication time @ 18.38.14): 92.879198ns
(Multiplication time @ 18.38.14): 87.496303ns
(Multiplication time @ 18.38.14): 90.337597ns
(Multiplication time @ 18.38.15): 87.246999ns
(Multiplication time @ 18.38.15): 90.000302ns
(Multiplication time @ 18.38.15): 87.182894ns
(Framerate @ 18.38.15): 10.425344
(Multiplication time @ 18.38.15): 87.491103ns
(Multiplication time @ 18.38.15): 89.236096ns
(Multiplication time @ 18.38.15): 87.788701ns
(Multiplication time @ 18.38.15): 89.600705ns
(Multiplication time @ 18.38.15): 90.066098ns
(Multiplication time @ 18.38.15): 91.012098ns
(Multiplication time @ 18.38.15): 89.121297ns
(Multiplication time @ 18.38.16): 88.350601ns
(Multiplication time @ 18.38.16): 88.156305ns
(Multiplication time @ 18.38.16): 100.593694ns
(Multiplication time @ 18.38.16): 88.907696ns
(Multiplication time @ 18.38.16): 91.199197ns
(Multiplication time @ 18.38.16): 87.042399ns
(Multiplication time @ 18.38.16): 87.662302ns
(Multiplication time @ 18.38.16): 88.078097ns
(Multiplication time @ 18.38.16): 89.278705ns
(Multiplication time @ 18.38.16): 89.144707ns
(Multiplication time @ 18.38.16): 87.677293ns
(Multiplication time @ 18.38.17): 88.643901ns
(Multiplication time @ 18.38.17): 86.885601ns
(Multiplication time @ 18.38.17): 88.200897ns
(Multiplication time @ 18.38.17): 89.919202ns
(Multiplication time @ 18.38.17): 91.017403ns
(Multiplication time @ 18.38.17): 88.137105ns
(Multiplication time @ 18.38.17): 90.248093ns
(Multiplication time @ 18.38.17): 89.157298ns
(Multiplication time @ 18.38.17): 88.149503ns
(Multiplication time @ 18.38.17): 87.573200ns
(Multiplication time @ 18.38.17): 87.090999ns
(Multiplication time @ 18.38.18): 89.073598ns
(Framerate @ 18.38.18): 10.979769
(Multiplication time @ 18.38.18): 87.256707ns
(Multiplication time @ 18.38.18): 88.966705ns
(Multiplication time @ 18.38.18): 87.830000ns
(Multiplication time @ 18.38.18): 89.915603ns
(Multiplication time @ 18.38.18): 88.379398ns
(Multiplication time @ 18.38.18): 88.973105ns
(Multiplication time @ 18.38.18): 88.740200ns
(Multiplication time @ 18.38.18): 89.007907ns
(Multiplication time @ 18.38.18): 90.831198ns
(Multiplication time @ 18.38.19): 87.183401ns
(Multiplication time @ 18.38.19): 88.996306ns
(Multiplication time @ 18.38.19): 88.038303ns
(Multiplication time @ 18.38.19): 90.934493ns
(Multiplication time @ 18.38.19): 88.323101ns
(Multiplication time @ 18.38.19): 88.208705ns
(Multiplication time @ 18.38.19): 88.723294ns
(Multiplication time @ 18.38.19): 89.968398ns
(Multiplication time @ 18.38.19): 90.629399ns
(Multiplication time @ 18.38.19): 89.272305ns
(Multiplication time @ 18.38.19): 87.767199ns
(Multiplication time @ 18.38.20): 87.692603ns
(Multiplication time @ 18.38.20): 89.564003ns
(Multiplication time @ 18.38.20): 87.058596ns
(Multiplication time @ 18.38.20): 89.098096ns
(Multiplication time @ 18.38.20): 89.066096ns
(Multiplication time @ 18.38.20): 91.490597ns
(Multiplication time @ 18.38.20): 89.169294ns
